Account ID,Policy ID,Peril,Line of Business,Product Line,Branch,Underwriter,Expiration Date,Premium,Limit,Layer Amount,Attachment Point,Blanket/Minimum Deductible,Maximum Deductible,
519,27,Earthquake,commercial,large commercial,gulf,John,12/31/13,2450,"7,807,285","7,807,285",0,"50,000",0,519
519,27,Hurricane,commercial,large commercial,gulf,John,12/31/13,4550,"4,500,000","15,000,000",0,"10,000,000",0,519
539,47,Earthquake,commercial,large commercial,gulf,John,12/31/13,2275,"2,500,000","50,000,000","50,000,000",3500000,0,539
539,47,Hurricane,commercial,large commercial,gulf,John,12/31/13,4225,"1,400,000","35,000,000","25,000,000",0,0,539
543,51,Earthquake,commercial,large commercial,gulf,John,12/31/13,1137.5,"1,750,000","50,000,000",0,"2,000,000",0,543
543,51,Hurricane,commercial,large commercial,gulf,John,12/31/13,2112.5,"5,000,000","100,000,000",100000000,"250,000",25000000,543
547,55,Earthquake,commercial,large commercial,gulf,Nancy,12/31/13,1750,"4,050,166","4,050,166",0,"50,000",0,547
547,55,Hurricane,commercial,large commercial,gulf,Nancy,12/31/13,3250,"500,000","1,000,000",0,"50,000",0,547
554,62,Earthquake,commercial,large commercial,gulf,Sue,12/31/13,1837.5,"3,000,000","15,000,000",10000000,0,0,554
554,62,Hurricane,commercial,large commercial,gulf,Sue,12/31/13,3412.5,"10,000,000","10,000,000","10,000,000","100,000",0,554
559,67,Earthquake,commercial,large commercial,gulf,Joe,12/31/13,1662.5,"19,825,941","19,852,941",0,"10,000",0,559
559,67,Hurricane,commercial,large commercial,gulf,Joe,12/31/13,3087.5,"5,000,000","50,000,000",0,"100,000",0,559
631,88,Earthquake,commercial,large commercial,pacific,John,12/31/13,7620,"10,000,000","10,000,000","10,000,000","25,000",0,631
632,89,Earthquake,commercial,large commercial,pacific,John,12/31/13,5040,"2,500,000","5,000,000","5,000,000","100,000",0,632
633,90,Earthquake,commercial,large commercial,pacific,Sue,12/31/13,10584,"3,660,000","3,660,000",0,"50,000",0,633
634,91,Earthquake,commercial,large commercial,pacific,Nancy,12/31/13,14112,"25,000,000","300,000,000","500,000,000",0,0,634
635,92,Earthquake,commercial,large commercial,pacific,Sue,12/31/13,12852,"5,000,000","10,000,000","10,000,000","50,000",0,635
636,93,Earthquake,commercial,large commercial,pacific,Greg,12/31/13,15060,"3,365,000","3,365,000",0,"50,000",0,636
