"street","city","zip","state"
"8492  LAHONTAN DR","TRUCKEE","96161","CA"
"2106  CIRBY WAY","ROSEVILLE","95661","CA"
"8053  CANTATA WAY","ANTELOPE","95843","CA"
"5945  SILVER SHADOW CIR","SACRAMENTO","95823","CA"
"6408  EMERALD DR","ROCKLIN","95677","CA"
"9841  FALL VALLEY WAY","SACRAMENTO","95829","CA"
"1724  CASTERBRIDGE DR","ROSEVILLE","95747","CA"
"10767  MOUNT VERNON RD","AUBURN","95603","CA"
"1735  CHELSEA WAY","ROSEVILLE","95661","CA"
"140  MIDWAY AVE","AUBURN","95603","CA"
"2953  DENISE CT","WEST SACRAMENTO","95691","CA"
"6900  FLINTWOOD WAY","SACRAMENTO","95831","CA"
"221  WILD OAK CT","LINCOLN","95648","CA"
"9366  LANGDON CT","ELK GROVE","95624","CA"
"9366  RINGE CIR","ELK GROVE","95624","CA"
"5209  LAGUNA PARK DR","ELK GROVE","95758","CA"
"2065  CASTELLEJA CT","CARMICHAEL","95608","CA"
"4520  ARDEN WAY","SACRAMENTO","95864","CA"
"4908  VAN STEYN CT","ELK GROVE","95757","CA"
"8695  TARATA PL","ELK GROVE","95624","CA"
"1315  WENDY CT","ROSEVILLE","95661","CA"
"100  HAYWAGON CT","LINCOLN","95648","CA"
"1111  MARKHAM WAY","SACRAMENTO","95818","CA"
"416  SUTHERLAND RANCH LN","ROSEVILLE","95678","CA"
"130  GILDED ROCK CIR","FOLSOM","95630","CA"
"1324  COPPING WAY","FOLSOM","95630","CA"
"2625  5TH AVE","SACRAMENTO","95818","CA"
"6408  FILMORE CT","ROCKLIN","95765","CA"
"4970  ARTESIA RD","SHINGLE SPRINGS","95682","CA"
"416  19TH ST","SACRAMENTO","95814","CA"
"8808  WATER SONG CIR","ROSEVILLE","95747","CA"
"6166  HICKORY LN","FORESTHILL","95631","CA"
"3872  SWEETWATER DR","ROCKLIN","95677","CA"
"7531  FESLER CT","CITRUS HEIGHTS","95610","CA"
"3516  KERSEY LN","SACRAMENTO","95864","CA"
"3301  KENSINGTON DR","EL DORADO HILLS","95762","CA"
"2095  BLACKHEATH LN","ROSEVILLE","95678","CA"
"4106 D AMERICAN RIVER DR","SACRAMENTO","95864","CA"
"4232  ROSE CREEK RD","ROSEVILLE","95747","CA"
"1416  ARROWWOOD LN","ROSEVILLE","95747","CA"
"7080  RANCHO VERDE LN","LOOMIS","95650","CA"
"8513  ARCADE OAKS CT","ORANGEVALE","95662","CA"
"110  DUNBARTON CT","GRANITE BAY","95746","CA"
"1682  GALLINGER CT","FOLSOM","95630","CA"
"1937  ALEXANDER DR","FOLSOM","95630","CA"
"3835  NORTHCLIFF LN","ROSEVILLE","95747","CA"
"15551  PONDEROSA LN","AUBURN","95603","CA"
"2063  FRASCATI DR","EL DORADO HILLS","95762","CA"
"2836  HONEYSUCKLE WAY","SACRAMENTO","95826","CA"
"8412  SUNBLAZE WAY","SACRAMENTO","95823","CA"
"5  PARK WEST CT","SACRAMENTO","95831","CA"
"1620  ROCKYBEND DR","SACRAMENTO","95833","CA"
"3253  LOWTHER WAY","ANTELOPE","95843","CA"
"6916  RICHMAN WAY","SACRAMENTO","95828","CA"
"7127  MURDOCK WAY","CARMICHAEL","95608","CA"
"4550  79TH ST","SACRAMENTO","95820","CA"
"341  ARCADE BLVD","SACRAMENTO","95815","CA"
"210  LIVE OAK CIR","ROSEVILLE","95678","CA"
"6801  BURDETT WAY","SACRAMENTO","95823","CA"
"8087  BRIAR RIDGE LN","CITRUS HEIGHTS","95610","CA"
"2529  GANZAN WAY","RANCHO CORDOVA","95670","CA"
"3701  CHAMBERLAIN WAY","CARMICHAEL","95608","CA"
"507 A HYACINTH CT Unit A","ROSEVILLE","95678","CA"
"5859  62ND ST","SACRAMENTO","95824","CA"
"7653  LILY MAR LN","ANTELOPE","95843","CA"
"1199  NORTH AVE","SACRAMENTO","95838","CA"
"620  Q ST","RIO LINDA","95673","CA"
"239  COOKINGHAM WAY","SACRAMENTO","95838","CA"
"28323  FORESTHILL RD","FORESTHILL","95631","CA"
"1516  HIGHLAND CIR","PLACERVILLE","95667","CA"
"1644  JASMINE WAY","LINCOLN","95648","CA"
"119  MARGARET DR","TWIN BRIDGES","95735","CA"
"7116  ELVORA WAY","ELK GROVE","95757","CA"
"766  SHASTA OAKS CT","ROSEVILLE","95678","CA"
"5648  TUPELO DR","SACRAMENTO","95842","CA"
"8235  BENJAMIN DR","ANTELOPE","95843","CA"
"5843  14TH AVE","SACRAMENTO","95820","CA"
"1  EBONY CT","SACRAMENTO","95823","CA"
"3207  GROVELAND WAY","ANTELOPE","95843","CA"
"3003  CONSTELLATION AVE","PLACERVILLE","95667","CA"
"7119  KENNETH AVE","CITRUS HEIGHTS","95610","CA"
"8853  BRIDALSMITH DR","SACRAMENTO","95828","CA"
"9448  CANMOOR CIR","ELK GROVE","95758","CA"
"1538  SQUAW VALLEY DR","WOODLAND","95776","CA"
"8811  KENTSHIRE WAY","SACRAMENTO","95828","CA"
